Milk Peanut.Butter Bread Cereal Jelly
1 1 1 1 1 1
2 0 1 1 1 1
3 1 1 1 0 1
4 1 1 1 0 1
5 0 1 1 1 1
6 0 1 1 1 1
7 0 1 1 0 1
8 0 1 1 0 1
9 1 1 1 0 1
10 1 1 1 0 1
11 1 1 1 1 1
12 0 1 1 0 1
13 1 1 1 1 1
14 1 1 1 1 1
15 1 1 1 0 1
16 1 1 1 0 1
17 1 1 1 0 1
18 1 1 1 1 1
19 1 1 1 1 1
20 0 1 1 0 1
21 0 1 1 1 1
22 0 1 1 0 1
23 1 1 1 1 1
24 1 1 1 0 1
25 1 1 1 1 1
26 1 1 1 1 1
27 0 1 1 0 1
28 0 1 1 0 1
29 0 1 1 0 1
30 1 1 1 1 1
31 1 1 1 1 1
32 1 1 1 0 1
33 1 1 1 1 1
34 1 1 1 1 1
35 1 1 1 1 1
36 0 1 1 1 1
37 1 1 1 1 1
38 0 1 1 0 1
39 1 1 1 0 1
40 1 1 1 0 1
41 1 1 1 1 1
42 0 1 1 1 1
43 0 1 1 0 1
44 1 1 1 0 1
45 1 1 1 1 1
46 1 1 1 1 1
47 1 1 1 1 1
48 1 1 1 1 1
49 1 1 1 0 1
50 0 1 1 1 1
51 0 1 1 0 1
52 1 1 1 0 1
53 1 1 1 1 1
54 1 1 1 0 1
55 1 1 1 1 1
56 1 1 1 1 1
57 1 1 1 1 1
58 1 1 1 1 1
59 0 1 1 1 1
60 0 1 1 1 1
61 0 1 1 0 1
62 0 1 1 1 1
63 0 1 1 1 1
64 0 1 1 0 1
65 1 1 1 1 1
66 0 1 1 1 1
67 1 1 1 0 1
68 0 1 1 1 1
69 0 1 1 0 1
70 1 1 1 1 1
71 0 1 1 0 1
72 0 1 1 0 1
73 1 1 1 1 1
74 0 1 1 1 1
75 1 1 1 0 1
76 1 1 1 1 1
77 0 1 1 0 1
78 1 1 1 0 1
79 1 1 1 1 1
80 0 1 1 1 1
81 1 1 1 1 1
82 1 1 1 0 1
83 1 1 0 0 1
84 1 1 0 0 1
85 1 1 0 0 1
86 1 1 0 1 1
87 1 1 0 1 1
88 0 1 0 0 1
89 0 1 0 0 1
90 1 1 0 1 1
91 1 1 0 1 1
92 0 1 0 1 1
93 0 1 0 1 1
94 0 1 0 1 1
95 1 1 0 1 1
96 0 1 0 0 1
97 1 1 0 1 1
98 0 1 0 0 1
99 1 1 0 0 1
100 0 1 0 0 1
101 0 0 0 0 0
102 0 0 1 0 0
103 0 0 1 0 0
104 0 0 1 0 0
105 1 0 0 0 1
106 0 0 1 0 0
107 1 0 1 0 0
108 1 0 0 0 0
109 0 0 1 0 1
110 1 0 1 0 1
111 0 0 0 0 1
112 0 0 0 0 1
113 0 0 0 0 1
114 1 0 1 0 1
115 0 0 0 0 1
116 0 0 1 0 1
117 1 0 1 0 1
118 1 0 0 0 1
119 1 0 0 0 1
120 0 0 1 0 0
121 1 0 0 0 0
122 0 0 1 0 1
123 1 0 0 0 0
124 1 0 1 0 1
125 1 0 0 0 1
126 1 0 1 0 1
127 1 0 1 0 0
128 1 0 0 0 1
129 1 0 1 0 1
130 1 0 1 0 0
131 1 0 1 0 0
132 0 0 0 0 0
133 0 0 0 0 1
134 1 0 1 0 0
135 0 0 1 0 0
136 0 0 1 0 0
137 1 0 0 0 1
138 1 0 1 0 0
139 1 0 0 0 0
140 1 0 1 0 1
141 1 0 1 0 1
142 0 0 1 0 1
143 1 0 0 0 1
144 1 0 0 0 0
145 0 0 0 0 0
146 0 0 0 0 1
147 1 0 0 0 1
148 0 0 1 0 1
149 1 0 1 0 0
150 1 0 1 0 0
151 1 0 1 0 0
152 1 0 0 0 1
153 0 0 0 0 0
154 1 0 1 0 0
155 0 0 1 0 1
156 0 0 1 0 0
157 0 0 0 0 0
158 1 0 0 0 0
159 1 0 1 0 1
160 1 0 0 0 0
161 0 0 1 0 1
162 0 0 0 0 1
163 0 0 0 0 1
164 0 0 0 0 1
165 0 0 0 0 1
166 0 0 1 0 0
167 0 0 1 0 0
168 1 0 0 0 0
169 0 0 1 0 0
170 0 0 0 0 0
171 1 0 0 0 1
172 1 0 0 0 1
173 0 0 0 0 1
174 0 0 0 0 1
175 1 0 1 0 1
176 0 0 1 0 0
177 0 0 1 0 1
178 0 0 1 0 0
179 0 0 0 0 1
180 1 0 0 0 0
181 0 0 0 0 1
182 1 0 0 0 0
183 0 0 0 0 1
184 0 0 0 0 1
185 0 0 1 0 1
186 1 0 0 0 0
187 0 0 0 0 1
188 0 0 1 0 1
189 0 0 0 0 1
190 1 0 0 0 1
